"Code","Full Title","Owning Faculty","Subject","Qual Type","Level","UCO Status","Points","Accreditation","UCO Webpage Status","Programme Coordinator","Launch","Active?","CMS","First Cohort Completion","Marketing Priority","CUAPRound","CUAPRound: Due Date","Compulsory Courses","Approval Status","Dom - Full Prog_2026","Int -  Full Prog_2026"
"X2504","Climate Change: Empowering Communities for Action",,,"Non-Credited Course","N/A","Building","0","Not required","Gathering leads",,"2026C2","False",,,"0",,,"[]",,,
"EMGT611","Risk Management Essentials (1/3)","Engineering",,"Credited Short Course","Postgraduate","Delivering/BAU","5","Accredited","Gathering leads",,"2025C3","True","https://curriculum.canterbury.ac.nz/cms/design/course/10149/view",,"0",,,"[]","[""Fully approved""]",,
"BSLA","Better Start Literacy","Education","/sites/w-TuihonoUC/SitePages/BSLA.aspx","Credited Short Course","N/A","Delivering/BAU","45","Accredited","Requirements changed",,"2025C2","True","https://curriculum.canterbury.ac.nz/cms/design/course/10138/view",,"0",,,"[]","[""Fully approved""]",,
"PRFD110","Project Management Series","Business",,"Non-Credited Course","Undergraduate","Delivering/BAU","0","Not required","Gathering leads",,,"True",,,"0",,,"[]",,,
"MPRM1XX","Waka Kotahi Project Management",,,"Credited Short Course","N/A","Delivering/BAU","5","Needs update","Requirements changed",,,"True","https://curriculum.canterbury.ac.nz/cms/design/course/9537/view",,"0",,,"[]","[""Fully approved""]",,
"MAAI","Master of Applied Artificial Intelligence","Engineering","/sites/w-TuihonoUC/SitePages/AppliedAI.aspx","Programme","Postgraduate","Scoping","180","Pending","Need brief",,"2026C3","False","https://curriculum.canterbury.ac.nz/cms/proposals/16200/view","2028C2","1",,,"[]","[""Needs academic approval""]",,
"PGCertResMgmt","PGCert in Resource Management","Science",,"Programme","Postgraduate","Review / On Hold","60","Pending","Need brief","Ann Brower",,"False",,,"0",,,"[]","[""Needs academic approval""]",,
"LLAW321","Tikanga Māori | Māori Laws and Philosophy","Law",,"Credited Short Course","Undergraduate","Archived","15","Accredited","Need brief",,,"False","https://curriculum.canterbury.ac.nz/cms/design/course/9397/view",,"0",,,"[]","[""Fully approved""]",,
"PGCertBus","Postgrad Certificate in Business","Business",,"Programme","Postgraduate","Archived","60","Accredited","Need brief","Sussie Morrish",,"False","https://curriculum.canterbury.ac.nz/cms/design/program/416/view",,"0",,,"[]","[""Fully approved""]",,
"PGCertConLaw","PGCert in Construction Law","Engineering",,"Programme","Postgraduate","Archived","60","Pending","Need brief",,,"False",,,"0",,,"[]","[""Needs academic approval""]",,
"SpecOlymp","Special Olympics Short Course","Education",,"Non-Credited Course","N/A","Archived","0","Not required","Need brief",,,"False",,,"0",,,"[]",,,
"Mechatronics","Mechatronics Series","Engineering",,"Credited Short Course","N/A","Archived",,"Pending","Need brief",,,"False",,,"0",,,"[]","[""Needs academic approval""]",,
"ENGR403","Fire Engineering Series","Engineering",,"Credited Short Course","Postgraduate","Archived","15","Pending","Need brief",,,"False","https://curriculum.canterbury.ac.nz/cms/design/course/4312/view",,"0",,,"[]","[""Needs faculty approval""]",,
"MBIS, MBM, MFinA","Online-to-Campus Business PG Quals","Business",,"Programme","Postgraduate","Review / On Hold","180",,"Need brief",,,"False",,,"0",,,"[]",,,
"MSME","Master of Small, Medium Enterprises","Business",,"Programme","Postgraduate","Review / On Hold","180","Pending","Need brief",,,"False","https://curriculum.canterbury.ac.nz/cms/proposals/16281/view?closeTab=true",,"0",,,"[]","[""Needs academic approval""]",,
"EPEC601 - 605","Sustainable Transitions in Action (Short Course Series)","Engineering",,"Credited Short Course","N/A","Review / On Hold","15","Accredited","Gathering leads",,"2025C4","True",,,"0",,,"[]","[""Fully approved""]",,
"BPsycSc","Bachelor of Psychological Sciences","Science",,"Programme","Undergraduate","Review / On Hold","360","Accredited","Need brief",,,"False","https://curriculum.canterbury.ac.nz/cms/design/program/105/view",,"0",,,"[]","[""Fully approved""]",,
"B2411","Financial Essentials for Managers",,,"Non-Credited Course","N/A","Review / On Hold","0","Not required","Requirements changed",,,"False",,,"0",,,"[]",,,
"Neurodiversity","Neurodiversity Short Course - Dyslexia / ADHD",,,"Non-Credited Course","N/A","Review / On Hold","0","Not required","Need brief",,,"False",,,"0",,,"[]",,,
"HLOL401","Understanding Child Behaviour","Health",,"Credited Short Course","Postgraduate","Review / On Hold",,"Pending","Requirements changed",,,"False",,,"0",,,"[]","[""Needs academic approval""]",,
"PGDipPsycSc","PGDip Psychological Sciences & Honours","Science",,"Programme","Postgraduate","Review / On Hold",,"Pending","Need brief",,,"False","https://curriculum.canterbury.ac.nz/cms/design/program/10609/view",,"0",,,"[]","[""Needs CUAP approval""]",,
"Corrections","Corrections (Corporate Client)","Law",,"Credited Short Course","N/A","Review / On Hold","5","Pending","Requirements changed",,"2026C2","False",,,"0",,,"[]",,,
"MEarlyYearsEd","Master of Early Years Education","Education",,"Programme","Postgraduate","Review / On Hold","180","Pending","Need brief","Jayne White",,"False",,,"0",,,"[]","[""Needs academic approval""]",,
"METM","Master of Engineering Technology Management","Engineering",,"Programme","Postgraduate","Review / On Hold","120","Pending","Need brief","Lulu Barry",,"False",,,"0",,,"[]","[""Needs academic approval""]",,
"MBAS: (MBA Specialisations)","Master of Business Administration: Health & Technology","Business",,"Programme","Postgraduate","Scoping","180","Pending","Need brief",,"2026C3","False","https://curriculum.canterbury.ac.nz/cms/proposals/11940/view",,"1",,,"[]","[""Needs academic approval""]",,
"BA","Bachelor of Arts (Comms)","Arts",,"Programme","Undergraduate","Review / On Hold","360","Accredited","Need brief",,"2026C3","False","https://curriculum.canterbury.ac.nz/cms/design/program/45/view",,"0",,,"[]","[""Fully approved""]",,
"PGCertCJ","PGCert Criminal Justice","Law",,"Programme","Postgraduate","Building","60","Accredited","Need brief",,"2026C3","False","https://curriculum.canterbury.ac.nz/cms/design/program/9552/view",,"2",,,"[]","[""Fully approved""]",,
"PGDipPsychAssist","PGDip Psychology Assistance","Science",,"Programme","Postgraduate","Scoping","120","Pending","Need brief","Eileen Britt","2026S2","False","https://curriculum.canterbury.ac.nz/cms/proposals/15729/view",,"0",,,"[]","[""Needs academic approval""]",,
"RegEcon","Regulatory Economics (Exec Ed)","Business",,"Non-Credited Course","N/A","Scoping",,"Not required","Awaiting feedback",,"2026C2","False",,,"3",,,"[]",,,
"PGCertProfSup","PGCert Professional Supervision","Health",,"Programme","Postgraduate","Scoping","60","Accredited","Need brief","Shanee Barraclough","2026S2","False","https://curriculum.canterbury.ac.nz/cms/design/program/10424/view",,"1",,,"[]","[""CUAP approved"",""TEC approved""]",,
