"UC Code","Faculty","Course Type","Course Status","Course Title","Points","Level","Accreditation","Course Coordinator","FLD Code","Programme(s)","CMS Entry","Course Outline","Elective","First Run","Dom Fees - 2026","Int Fees - 2026","SAC Funding"
"SPRT107","Health","Degree Course","Design & build","Sport Nutrition","15","5","Accredited","Brad Hurren","H2501","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/11230/view",,"[]","2026C1","$1,099.00","$5,388.00","False"
"PSYC105","Science","Degree Course","Scoping","Introductory Psychology - Brain, Behaviour and Cognition","15","5","Accredited",,"S2501","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/8025/view",,"[]","2026C2","$1,058.00","$5,388.00","False"
"HLTH105","Health","Degree Course","Design & build","Communication for Practice","15","5","Accredited",,"H2502","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/9544/view",,"[]","2026C3","$948.00","$4,263.00","False"
"HLTH106","Health","Degree Course","Design & build","Te Wero - Maori Health Issues and Opportunities","15","5","Accredited",,"H2503","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/5773/view",,"[]","2026C2","$948.00","$4,263.00","False"
"BCHM111","Science","Degree Course","Not started"," Cellular Biology and Biochemistry","15","5","Accredited",,"S2502","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/1153/view",,"[]","2026C3","$1,099.00","$5,388.00","False"
"HLTH112","Health","Degree Course","Not started","Anatomy & Physiology I","15","5","Accredited",,"H2504","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/9540/view",,"[]","2026C4","$1,099.00","$5,388.00","False"
"PACS111","Arts","Degree Course","Not started","Pacific Peoples and Societies","15","5","Accredited",,"A2511","BHlth,BA","https://curriculum.canterbury.ac.nz/cms/design/course/11452/view",,"[]","2026C3",,,"False"
"SUST401","Arts","Degree Course","Design & build","Innovative Perspectives for Next Generation Sustainable Transformations","15","8","Accredited",,"A2512","MSFI","https://curriculum.canterbury.ac.nz/cms/design/course/10421/view",,"[]","2026C2","$1,286.00","$5,663.00","False"
"SUST402","Arts","Degree Course","Not started","Disruptive Practices for Regenerative Futures","15","8","Accredited",,"A2513","MSFI","https://curriculum.canterbury.ac.nz/cms/design/course/10533/view",,"[]","2026C3","$1,286.00","$5,663.00","False"
"SUST403","Arts","Degree Course","Not started","Catalysing Impact: Research Strategy and Design","15","8","Accredited",,"A2514","MSFI","https://curriculum.canterbury.ac.nz/cms/design/course/10534/view",,"[]","2026C4","$1,286.00","$5,663.00","False"
"EPEC605","Engineering","Degree Course","On hold"," Sustainable Transition in Action","15","8","Accredited",,"G2514","MEM,PGDipEM","https://curriculum.canterbury.ac.nz/cms/design/course/10966/view",,"MSFI,PGDipSFI","2026C2",,,"False"
"HLTH101","Health","Degree Course","Scoping","Introduction to Health Studies","15","5","Accredited",,"H2505","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/10859/view",,"[]","2027C1",,,"False"
"SPRT229","Health","Degree Course","Not started","Sport Psychology","15","6","Accredited",,"H2506","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/8698/view",,"[]","2027C4",,,"False"
"HLTH207","Health","Degree Course","Not started","Nutrition & Exercise Prescription","15","6","Not accredited",,"H2507","BHlth",,,"[]","2027C4",,,"False"
"HLTH223","Health","Degree Course","Not started","Physical Activity and Nutrition","15","6","Accredited",,"H2508","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/9538/view",,"[]","2027C2",,,"False"
"HLTH203","Health","Degree Course","Not started","Epidemiology","15","6","Accredited",,"H2509","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/5778/view",,"[]","2027C3",,,"False"
"HLTH113","Health","Degree Course","Not started","Anatomy & Physiology II","15","5","Accredited",,"H2510","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/9539/view",,"[]","2027C2",,,"False"
"SPRT209","Health","Degree Course","Not started","Exercise Physiology","15","6","Accredited",,"H2511","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/10817/view",,"[]","2027C1",,,"False"
"PSYC106","Science","Degree Course","Scoping","Introductory Psychology - Social, Personality and Developmental","15","5","Accredited",,"S2503","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/8026/view",,"[]","2026C4","$1,058.00","$5,388.00","False"
"LING101","Arts","Distance","Design & build","How Language Works","15","5","Accredited",,"A2515","BA","https://curriculum.canterbury.ac.nz/cms/design/course/6378/view",,"[]","2026S1",,,"False"
"ARTS102","Arts","Degree Course","On hold","Problems, Questions, Evidence","15","5","Accredited",,"A2516","BA","https://curriculum.canterbury.ac.nz/cms/design/course/1093/view",,"[]","2026C3",,,"False"
"CRJU150","Law","Degree Course","Design & build","Legal Method in the Criminal Justice Context","15","5","Accredited",,"L2502","BCJ","https://curriculum.canterbury.ac.nz/cms/design/course/2029/view",,"[]","2026C3","$1,003.00","$5,038.00","False"
"HSRV103","Arts","Degree Course","Not started","Violence in Society","15","5","Accredited",,"A2517","BCJ","https://curriculum.canterbury.ac.nz/cms/design/course/5868/view",,"BA","2026C4","$948.00","$4,263.00","False"
"HLTH213","Health","Degree Course","Not started","Health Systems and Policy","15","6","Accredited",,"H2512","BHlth","https://curriculum.canterbury.ac.nz/cms/design/course/5779/view",,"[]","2027C3",,,"False"
"HSRV104","Arts","Degree Course","Design & build","Youth Realities","15","5","Accredited",,"A2518","BCJ","https://curriculum.canterbury.ac.nz/cms/design/course/5869/view",,"BA","2026C3","$948.00","$4,263.00","False"
"PACS211","Arts","Degree Course","Not started","The Transnational Pacific","15","6","Accredited",,"A2519","BA","https://curriculum.canterbury.ac.nz/cms/design/course/11454/view",,"BHlth","2026C4","$948.00","$4,263.00","False"
,"None","Non-Credited Course","Live","Project Management Professional (PMP®) Exam Preparation Training","0",,"Not accredited","Lisa Jones","X2505","[]",,,"[]","2025C4",,,"False"
"HLTH610","Health","Degree Course","Not started","Navigating the Art of Professional Supervision","30","8","Pending",,"H2513","PGCertProfSup","https://curriculum.canterbury.ac.nz/cms/design/course/10124/view",,"[]","2026C3","$2,494.00","$11,325.00","False"
"HLTH611","Health","Degree Course","Not started","Shaping Futures: Advanced Supervisory Practices","30","8","Pending",,"H2514","PGCertProfSup","https://curriculum.canterbury.ac.nz/cms/design/course/10648/view",,"[]","2027C1",,,"False"
"MKTG631","Business","Degree Course","Design & build","Marketing","15","8","Accredited",,"B2511","MMktg (Online-to-campus - 60pt)","https://curriculum.canterbury.ac.nz/cms/design/course/11015/view",,"[]","2026C1","$1,198.00","$4,738.00","False"
"PMGT612","Engineering","Degree Course","Not started","Advanced Agile Project Management","15","8","Pending",,"TBC","MPM: Agile","https://curriculum.canterbury.ac.nz/cms/design/course/10520/view",,"[]","2027C1",,,"False"
"SSCI404","Health","Degree Course","Not started","Advanced Internship for Sport Science","30","8",,,"TBC","PGDipCEP",,,"PGDipCEP","2027C1",,,"False"
"CRJU613","Law","Degree Course","Design & build"," People and justice: Contemporary challenges and perspectives","15","9","Pending",,"TBC","PGCertCJ","https://curriculum.canterbury.ac.nz/cms/design/course/15402/view",,"[]","2026C3",,,"False"
"COMS438","Arts","Degree Course","Not started","Leadership Communication for Workplace Engagement","15","8","Accredited",,"TBC","MStratCom","https://curriculum.canterbury.ac.nz/cms/design/course/10539/view",,"[]","2028C1",,,"False"
"CRJU201","Law","Degree Course","Not started","Crime and Justice","15","6","Accredited",,"TBC","BCJ","https://curriculum.canterbury.ac.nz/cms/design/course/2031/view",,"[]","2027C1",,,"False"
"TBC","Engineering","Degree Course","Not started","Elective for MEM","15",,,,"TBC","MEM",,,"[]","2026C3",,,"False"
"CRJU160","Law","Degree Course","Not started","Legal Issues in the New Zealand Criminal Justice System","15","5","Accredited",,"TBC","BCJ","https://curriculum.canterbury.ac.nz/cms/design/course/2030/view",,"[]","2027C1",,,"False"
"TBC","Education","Degree Course","Not started","Master of AI in Education course - Course 1","15",,,,"TBC","MAIEd",,,"[]","2026C3",,,"False"
"TBC","Education","Degree Course","Not started","Master of AI in Education course - Course 2","15",,,,"TBC","MAIEd",,,"[]","2026C4",,,"False"
"TBC","Education","Degree Course","Not started","Master of AI in Education course - Course 3","15",,,,"TBC","MAIEd",,,"[]","2027C1",,,"False"
